field_1,Longitude,Latitude,RMI_p,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,elevation,aspect
76,-78.35986,38.61956,31.31537247,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,935.0470581,16.13197327
77,-78.35969,38.62035,33.44115067,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,906.2174683,26.78615189
78,-78.36165,38.61931,17.36235046,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,896.8516846,280.2713318
79,-78.36231,38.58706,20.99493408,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1103.192139,152.3977509
80,-78.36372,38.58827,14.0530014,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1128.023071,185.2788544
81,-78.36684,38.58446,22.78734589,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1064.537109,162.2060089
82,-78.34109,38.62658,14.10511112,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,998.0559692,306.0266418
83,-78.34228,38.62514,24.7293663,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1016.126953,345.6005249
84,-78.36455,38.58705,31.4124794,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1104.438477,164.8562927
85,-78.3443,38.62401,25.31720924,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1004.910645,325.1509094
86,-78.34534,38.62377,19.53735924,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1011.186157,359.5436401
87,-78.34548,38.62215,16.00927544,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1006.662292,228.3891144
88,-78.34489,38.61997,27.90902138,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1001.628967,319.1624146
89,-78.37881,38.59666,20.64258194,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1069.282104,297.1285095
90,-78.37713,38.59512,30.96994019,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1110.844727,300.5285645
91,-78.37572,38.59385,33.97934723,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1131.563232,252.9553833
92,-78.37366,38.59478,15.86683559,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1154.292725,241.9153748
93,-78.33428,38.62664,19.3733387,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1062.942993,251.6003876
94,-78.33228,38.62499,22.17847633,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1067.095215,241.101944
95,-78.33124,38.62614,18.2015686,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,1105.852417,239.1719971
96,-78.3834,38.60338,27.8987236,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,877.8511353,43.66678619
97,-78.38155,38.60019,23.77516174,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,965.0075684,58.1912117
98,-78.38213,38.60106,28.18486404,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,941.8322144,25.41108513
