"","Latitude","Longitude","year","direction","T_final"
"278",38.55359,-78.39091,"year_2006","NE",20.5627877374
"279",38.55359,-78.39091,"year_2007.","NE",19.5067879774
"280",38.55359,-78.39091,"year_2008","NE",19.9527890374
"281",38.55359,-78.39091,"year_2009","NE",17.8127877374
"282",38.55359,-78.39091,"year_2010","NE",22.7117879074
"283",38.55359,-78.39091,"year_2011","NE",22.2687890174
"284",38.55359,-78.39091,"year_2012","NE",22.1157872374
"285",38.55359,-78.39091,"year_2013","NE",19.9187886374
"286",38.55359,-78.39091,"year_2014","NE",19.1917874474
"287",38.55359,-78.39091,"year_2015","NE",19.8717877474
"288",38.55359,-78.39091,"year_2016","NE",21.1127888774
"289",38.5536,-78.4175,"year_2005","SW",26.420403568848
"290",38.5536,-78.4175,"year_2006","SW",26.353402218848
"291",38.5536,-78.4175,"year_2007.","SW",25.291403858848
"292",38.5536,-78.4175,"year_2008","SW",25.812403758848
"293",38.5536,-78.4175,"year_2009","SW",23.715403638848
"294",38.5536,-78.4175,"year_2010","SW",28.669402208848
"295",38.5536,-78.4175,"year_2011","SW",28.266402328848
"296",38.5536,-78.4175,"year_2012","SW",28.104403578848
"297",38.5536,-78.4175,"year_2013","SW",25.864403808848
"298",38.5536,-78.4175,"year_2014","SW",25.088402828848
"299",38.5536,-78.4175,"year_2015","SW",25.831402858848
"300",38.5536,-78.4175,"year_2016","SW",26.890402878848
"301",38.5537,-78.4163,"year_2005","NW",25.587519867376
"302",38.5537,-78.4163,"year_2006","NW",25.520518517376
"303",38.5537,-78.4163,"year_2007.","NW",24.458520157376
"304",38.5537,-78.4163,"year_2008","NW",24.979520057376
"305",38.5537,-78.4163,"year_2009","NW",22.882519937376
"306",38.5537,-78.4163,"year_2010","NW",27.836518507376
"307",38.5537,-78.4163,"year_2011","NW",27.433518627376
"308",38.5537,-78.4163,"year_2012","NW",27.271519877376
"309",38.5537,-78.4163,"year_2013","NW",25.031520107376
"310",38.5537,-78.4163,"year_2014","NW",24.255519127376
"311",38.5537,-78.4163,"year_2015","NW",24.998519157376
"312",38.5537,-78.4163,"year_2016","NW",26.057519177376
"313",38.55371,-78.40269,"year_2005","SW",23.43567096944
"314",38.55371,-78.40269,"year_2006","SW",23.36866961944
"315",38.55371,-78.40269,"year_2007.","SW",22.30667125944
"316",38.55371,-78.40269,"year_2008","SW",22.82767115944
"317",38.55371,-78.40269,"year_2009","SW",20.73067103944
"318",38.55371,-78.40269,"year_2010","SW",25.68466960944
"319",38.55371,-78.40269,"year_2011","SW",25.28166972944
"320",38.55371,-78.40269,"year_2012","SW",25.11967097944
"321",38.55371,-78.40269,"year_2013","SW",22.87967120944
"322",38.55371,-78.40269,"year_2014","SW",22.10367022944
"323",38.55371,-78.40269,"year_2015","SW",22.84667025944
"324",38.55371,-78.40269,"year_2016","SW",23.90567027944
"325",38.55437,-78.39211,"year_2005","SE",20.9210648174
"326",38.55437,-78.39211,"year_2006","SE",20.8290638574
"327",38.55437,-78.39211,"year_2007.","SE",19.7730640974
"328",38.55437,-78.39211,"year_2008","SE",20.2190651574
"329",38.55437,-78.39211,"year_2009","SE",18.0790638574
"330",38.55437,-78.39211,"year_2010","SE",22.9780640274
"331",38.55437,-78.39211,"year_2011","SE",22.5350651374
"332",38.55437,-78.39211,"year_2012","SE",22.3820633574
"333",38.55437,-78.39211,"year_2013","SE",20.1850647574
"334",38.55437,-78.39211,"year_2014","SE",19.4580635674
"335",38.55437,-78.39211,"year_2015","SE",20.1380638674
"336",38.55437,-78.39211,"year_2016","SE",21.3790649974
"337",38.55444,-78.40892,"year_2005","SW",24.3122063248
"338",38.55444,-78.40892,"year_2006","SW",24.2452049748
"339",38.55444,-78.40892,"year_2007.","SW",23.1832066148
"340",38.55444,-78.40892,"year_2008","SW",23.7042065148
"341",38.55444,-78.40892,"year_2009","SW",21.6072063948
"342",38.55444,-78.40892,"year_2010","SW",26.5612049648
"343",38.55444,-78.40892,"year_2011","SW",26.1582050848
"344",38.55444,-78.40892,"year_2012","SW",25.9962063348
"345",38.55444,-78.40892,"year_2013","SW",23.7562065648
"346",38.55444,-78.40892,"year_2014","SW",22.9802055848
"347",38.55444,-78.40892,"year_2015","SW",23.7232056148
"348",38.55444,-78.40892,"year_2016","SW",24.7822056348
"349",38.55445,-78.40313,"year_2005","NW",23.09919028848
"350",38.55445,-78.40313,"year_2006","NW",23.03218893848
"351",38.55445,-78.40313,"year_2007.","NW",21.97019057848
"352",38.55445,-78.40313,"year_2008","NW",22.49119047848
"353",38.55445,-78.40313,"year_2009","NW",20.39419035848
"354",38.55445,-78.40313,"year_2010","NW",25.34818892848
"355",38.55445,-78.40313,"year_2011","NW",24.94518904848
"356",38.55445,-78.40313,"year_2012","NW",24.78319029848
