"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"79",8,0.00149102851072186,6.51095068034062e-17,0.999999999995765,1,0.999978897060818,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"80",9,0.000541788991044247,2.20827780516163e-17,0.999999999995273,1,0.999959412694795,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"81",10,0.00104953192649624,2.74574958568546e-17,0.999999999997651,1,0.999983123722993,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"82",2,0.00150880353431721,3.71384984337166e-16,0.999999999952054,1,0.999828159651776,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"83",3,0.000723820127496329,1.18536633528361e-16,0.999999999964847,1,0.999761956141994,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"84",4,0.00103293792165856,9.49404482640424e-17,0.999999999986956,1,0.999919902033536,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"85",5,0.000534648761619557,2.24510111832281e-17,0.999999999991333,1,0.999924601534017,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"86",6,0.000683980657737114,2.73794317861074e-17,0.999999999994991,1,0.999958257014432,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"87",7,0.000299025458033136,7.81843429220221e-18,0.999999999995308,1,0.999938440692384,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"88",8,0.000604218806357585,1.09568628278274e-17,0.999999999997784,1,0.999975449633487,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"89",9,0.000252034712904602,2.8255607172825e-18,0.999999999997862,1,0.999960425216057,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"90",10,0.000359264707873051,3.38537425721466e-18,0.999999999998771,1,0.999977469891764,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"91",2,0.000208771263527005,1.0320772726255e-16,0.999999999574352,1,0.998684112023691,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"92",3,0.000130004963075115,3.4207094127052e-17,0.999999998725811,1,0.996943512274281,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"93",4,0.000203983879508828,3.6864270450761e-17,0.999999999492545,1,0.998933258879039,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"94",5,0.000119675655840614,1.64670609316978e-17,0.999999999357565,1,0.998542042356082,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"95",6,0.00016454139840742,1.58517597474995e-17,0.999999999706157,1,0.99927242933042,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"96",7,7.60727581788497e-05,5.2841083207263e-18,0.99999999960754,1,0.998709873440557,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"97",8,0.000134701824234469,7.06864696139556e-18,0.999999999849288,1,0.999494046983449,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"98",9,6.25880425817008e-05,2.08381886871978e-18,0.999999999785544,1,0.999035230530397,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"99",10,9.02546145382854e-05,2.066300741728e-18,0.999999999906291,1,0.999537811219608,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"100",2,0.000222329206183059,1.20364135428081e-16,0.999999999594432,1,0.998536525254325,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"101",3,0.000471618907879984,1.25567732939e-16,0.999999999910723,1,0.999578347547926,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"102",4,0.000606791821904119,6.66523701296048e-17,0.999999999968191,1,0.99985824914542,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"103",5,0.000343311260568859,3.45989837750108e-17,0.99999999997692,1,0.999862876053314,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"104",6,0.000388223947489535,2.10851816148832e-17,0.999999999986361,1,0.999919300008181,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"105",7,0.000281276918474039,1.43046786606452e-17,0.999999999990023,1,0.999918310687381,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"106",8,0.00029859308567302,8.88334923389819e-18,0.999999999993381,1,0.999949298666624,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"107",9,0.000204606064549926,4.72053538702094e-18,0.999999999994691,1,0.999937065896039,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"108",10,0.000253664797334228,3.41502300764089e-18,0.999999999997003,1,0.999965521025318,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"109",2,3.84670696463253e-05,1.33134354425111e-17,0.999999996727823,1,0.991407838359337,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"110",3,4.60621717302025e-05,1.09733688555008e-17,0.999999998887878,1,0.995565815900506,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"111",4,4.98971211198933e-05,5.94742078030102e-18,0.999999999515701,1,0.997530627586759,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"112",5,3.48385901552703e-05,3.15613005935621e-18,0.999999999666445,1,0.998190672001613,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
"113",6,3.23553370804536e-05,1.65649047808695e-18,0.999999999805783,1,0.998794405389999,13,0.32421875,0.39453125,0.22265625,0.37890625,0.02734375,0.73046875,0.27734375,0.17578125
