"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"74",3,0.00156713557335431,3.78279591858576e-16,0.999999999952761,1,0.999826950350243,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"75",4,0.0027934690816657,3.15943362769237e-16,0.999999999979649,1,0.99993201960433,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"76",5,0.00204778204298169,2.07231318425392e-16,0.999999999985973,1,0.999938610862843,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"77",6,0.00195484057728721,1.20439611550133e-16,0.999999999991383,1,0.999961419801611,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"78",7,0.00118441690313598,6.2880921307943e-17,0.999999999992177,1,0.999947243753169,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"79",8,0.00213464615240739,6.14494718905303e-17,0.999999999996024,1,0.999977647278051,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"80",9,0.000979837097183673,2.36981676671939e-17,0.999999999996146,1,0.999963290941374,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"81",10,0.00145389081831191,1.98039152573156e-17,0.999999999997711,1,0.999980834693524,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"82",2,0.00133835855557942,6.76191939956672e-16,0.999999999946075,1,0.999810016139342,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"83",3,0.000581434737783722,1.39154210605156e-16,0.999999999974589,1,0.999791910852842,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"84",4,0.000840194284221276,9.19486432887926e-17,0.999999999989821,1,0.999934704501654,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"85",5,0.000484632083246957,3.83955012221628e-17,0.999999999993582,1,0.999934239147542,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"86",6,0.000532676851488416,2.9495888538743e-17,0.999999999996146,1,0.999963267806693,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"87",7,0.000282488291372131,1.10225348770066e-17,0.999999999996545,1,0.999949604078685,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"88",8,0.000492798850304394,1.23714917111639e-17,0.99999999999827,1,0.999977904343698,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"89",9,0.000214049288881187,4.05192565981151e-18,0.999999999998424,1,0.999965595478596,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"90",10,0.000319437591452726,3.8928168874912e-18,0.999999999999058,1,0.999981738435044,10,0.69921875,0.51953125,0.09765625,0.75390625,0.40234375,0.85546875,0.90234375,0.05078125
"91",2,0.000247624517227594,7.52392131740835e-17,0.999999999727138,1,0.998927123071977,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"92",3,0.000120488245142596,4.92720114486577e-17,0.99999999899539,1,0.996563904291461,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"93",4,0.000261130528835989,4.58667907063245e-17,0.999999999594057,1,0.998869394400026,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"94",5,0.00013082372908958,3.65347523339183e-17,0.999999999543566,1,0.998427849398634,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"95",6,0.000207981494035911,2.08456057509555e-17,0.999999999802719,1,0.999308213656287,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"96",7,7.42906559378308e-05,1.02024648607007e-17,0.999999999703692,1,0.998458996284572,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"97",8,0.00018290912065964,9.62507939695068e-18,0.999999999900471,1,0.999524506303276,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"98",9,6.20608201297291e-05,4.11656071851451e-18,0.999999999841085,1,0.998901545705408,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"99",10,0.000115068751875859,3.03127010196921e-18,0.999999999938769,1,0.999542776686729,11,0.94921875,0.26953125,0.34765625,0.00390625,0.15234375,0.10546875,0.65234375,0.80078125
"100",2,0.000202998750535244,1.42560822257242e-16,0.999999999448384,1,0.998503430498542,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"101",3,0.000463865635492307,1.29193240920149e-16,0.999999999893687,1,0.999568185876688,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"102",4,0.000496247941759872,5.60530194212407e-17,0.999999999954336,1,0.999813377856214,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"103",5,0.000311606410066789,4.14388384102601e-17,0.999999999971178,1,0.999849326679825,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"104",6,0.000363145048862637,2.23395238386366e-17,0.999999999982237,1,0.999897971281698,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"105",7,0.000226656646148356,1.34920905528961e-17,0.999999999985765,1,0.999892375251309,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"106",8,0.00028011584878901,9.22022703883087e-18,0.999999999991471,1,0.999939874016559,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
"107",9,0.000191109498727278,6.01748015017798e-18,0.999999999993342,1,0.999926764831394,12,0.44921875,0.76953125,0.84765625,0.50390625,0.65234375,0.60546875,0.15234375,0.30078125
