"","occ_v","occ_z","col_prob_v","surv_prob_v","col_prob_z","surv_prob_z","alpha.psiS","alpha.psiC","alpha.survS","alpha.colS","beta.survS1","beta.colS1","beta.survS2","beta.colS2","alpha.survC","alpha.colC","beta.survC1","beta.colC1","beta.survC2","beta.colC2"
"40",0.99988750994149,0.999999893923577,0.985387976431682,0.999999992540151,0.99999997783932,0.999980064267553,0.175714933920874,0.999993421993295,0.888727849090106,0.272442576492822,0.755551957492185,0.999993421993295,0.825522077347868,0.599977356830649,0.0396506096597898,0.548816658528229,0.188038263803437,0.820478552626782,0.712370800831161,0.867376406464049
"41",0.999990727067498,0.999999989218456,0.998763529202696,0.999999998106422,0.999999999348977,0.999971815739117,0.258670453848404,0.999979542542182,0.426370212262851,0.427682810776887,0.938169501230069,0.999979542542182,0.629800117275797,0.0494976727209734,0.85002573555353,0.203108577461464,0.260590958417573,0.88865596108965,0.784214778954162,0.301824803584039
"42",0.999999757633478,0.999998319499635,0.999999928673782,0.999862654102444,0.999947090039178,0.999999999564936,0.765183200705147,0.999999999836989,0.943417268236075,0.957886814651108,0.403857662144971,0.999999999836989,0.122514449704223,0.521639709903472,0.340133387971743,0.752736458061969,0.718922169794758,0.363879744737119,0.254481062175739,0.792024486375791
"43",0.999874128577929,0.997874340950998,0.999976950801346,0.983533718690291,0.996695026616139,0.988601055572315,1.02427119987653,0.992206672481885,0.643354374521417,0.18377744207869,0.227440817850805,0.992206672481885,0.407378262548455,0.303320248839692,0.556320139369958,0.929593694936181,0.458999936316386,0.136445862956283,0.541754796749774,0.528745178505536
"44",0.99999999938172,0.999999920621937,0.999999999805914,0.99999937639494,0.999999845553408,0.999999829516208,0.46273674491652,0.999999944088266,0.155224513790175,0.697626444083214,0.703027182528452,0.999999944088266,0.896841268973633,0.778806787931168,0.104336802509297,0.472004538383743,0.995482146570756,0.620579377233714,0.00679316253772602,0.0622459501735582
"45",0.999846806477669,0.999202032784047,0.999889346934587,0.998543035959368,0.905896542630703,0.999997143248006,0.355930076377431,0.999998895119712,0.820656540694587,0.319804899359265,0.0689837605981362,0.999998895119712,0.525353782024838,0.632386316923196,0.966474994595005,0.844367378628558,0.376825609741731,0.259044125264536,0.889601843853123,0.180778112911539
"46",0.999999995629937,0.999970296918786,0.999999995888115,0.999999963608466,0.999996899024392,0.891428468063969,0.849003231794788,0.905542737321357,0.28468867504532,0.803171713183026,0.556440503561554,0.905542737321357,-0.0144962113314022,0.155579316864721,0.479424810634442,0.329281899496503,0.847727916129317,0.756532067429646,0.36373062823446,0.66164597529964
"47",0.999037324464857,0.999999993001251,0.964059163131724,0.999979348247388,0.999999987865694,0.999999982792319,0.588906294572054,0.999999995585317,0.0431600760189867,0.0958477055671708,0.816532147363947,0.999999995585317,0.278934661676284,0.896519397142629,0.75228799577141,0.0669256436147642,0.111506093823314,0.494194858612074,0.607122758754084,0.912248967443915
"48",0.999964485930927,0.999808541104965,0.99999900237332,0.642995475692884,0.999456833721399,0.999618100060416,0.105161498353794,0.999776076611542,0.54102936637322,0.516658028254545,0.322250020383473,0.999776076611542,0.790904891300284,0.381872295343985,0.199754479042831,0.604592719773521,0.612546896101245,0.00536207950210938,0.121171341275603,0.386458009920627
"49",0.999999997691501,0.972104771747173,0.99999999583986,0.999999998762944,0.990246560169449,0.653979819935034,0.0671044933126242,0.701453509580386,0.887829577696442,0.702428694512593,0.172192598464205,0.701453509580386,0.229022728306286,0.163742163044329,0.101219451604766,0.313366673245738,0.86050216231256,0.917963737284707,0.5288617874951,0.815905889295832
"50",0.999958539643321,0.999999673989242,0.99990271991407,0.999959255712079,0.999999710765275,0.999997607800821,0.607456187415371,0.999999076989391,0.388395718154313,0.220538567201491,0.663597283831054,0.999999076989391,0.782150389505905,0.663849975292004,0.650624878554067,0.821249265815143,0.383266249603119,0.421117708017086,0.0246737965926235,0.314081833076744
"51",0.99999132755709,0.999999976454571,0.999999571797717,0.99203349544082,0.999999997585602,0.998195817594067,0.823864043451106,0.998927623180057,0.155604802668442,0.967317423314206,0.892595173457852,0.998927623180057,0.995288481579109,0.435986498059177,0.378425471785947,0.584601794451963,0.640561336522647,0.189294580248806,0.778370063576884,0.10059427412607
"52",0.99962838843507,0.999996490608431,0.965481062671847,0.999999628099943,0.999904313421235,0.999999962773821,0.33747591447215,0.999999990937869,0.64713227837907,0.456148165395091,0.384533351952395,0.999999990937869,0.490745620651555,0.949566453986174,0.893381865676812,0.0669019054122443,0.107375993643132,0.666551784065224,0.307001431972138,0.595649748479111
"53",0.999970021875793,0.999999992754248,0.999986279084902,0.999306861001321,0.999999973534907,0.999999999084023,0.461095655693838,0.999999999711638,0.268574228243198,0.599016114134709,0.776305645473932,0.999999999711638,0.106701880947681,0.539388937179373,-0.0060471916551419,0.699691908234017,0.501671352014649,0.296959756998512,0.6320711650792,0.725694359378114
"54",0.999163920952533,0.999843064842312,0.762505346328734,0.999999984664744,0.999421668376002,0.99988987801476,0.945884496843313,0.999923228666484,0.764422898945619,0.0718192846427262,0.302672745024563,0.999923228666484,0.6081334089556,0.0612049156239971,0.490726460993279,0.206004249288383,0.0287442218256448,0.801927692937232,0.169617668506622,0.235472448627815
